like1,pars_r,parr_p3,parr_p7,parr_px,parc_m1,parc_w1,chain
0.7886,0.0313,0.02344,0.02377,0.02573,0.602,6.46,5.0
1.592,0.02336,0.0317,0.02408,0.0077,0.779,5.62,6.0
1.095,0.02057,0.01836,0.02065,0.01703,0.4106,6.164,7.0
0.9873,0.01746,0.014725,0.01923,0.01685,0.7207,6.434,8.0
0.9062,0.0172,0.011536,0.02888,0.014946,0.7847,8.81,9.0
0.7153,0.03644,0.01448,0.03152,0.0206,0.798,5.547,10.0
0.9287,0.03818,0.0195,0.01121,0.014435,0.2035,1.525,11.0
1.05,0.03442,0.03555,0.03302,0.02031,0.1436,6.164,12.0
0.699,0.0482,0.005512,0.04028,0.02008,0.861,8.37,0.0
1.358,0.014786,0.01396,0.013855,0.005085,0.66,9.94,1.0
1.177,0.04065,0.02979,0.0097,0.0224,0.3281,7.508,2.0
1.045,0.03732,0.02763,0.01505,0.0233,0.527,7.883,3.0
0.652,0.0322,0.01755,0.03156,0.02763,0.5503,5.984,4.0
0.9688,0.03735,0.01663,0.03247,0.01665,0.703,7.555,5.0
1.154,0.02536,0.02611,0.0194,0.01945,0.5923,6.63,6.0
0.8257,0.02585,0.03165,0.03032,0.02756,0.6494,7.965,7.0
0.667,0.01214,0.03445,0.03024,0.03275,0.758,4.92,8.0
0.768,0.02505,0.03766,0.02834,0.03198,0.548,7.934,9.0
1.354,0.02963,0.03134,0.03455,0.01377,0.819,6.19,10.0
1.442,0.03033,0.0254,0.03348,0.01032,0.4976,5.14,11.0
1.059,0.02837,0.02803,0.02812,0.0207,0.6055,7.613,12.0
0.663,0.01622,0.021,0.0476,0.01628,0.4622,1.569,0.0
0.6416,0.02557,0.0482,0.0221,0.01881,0.6074,1.311,1.0
1.119,0.02527,0.03555,0.01985,0.01866,0.5347,3.686,2.0
1.432,0.00896,0.02142,0.03836,0.005287,0.3992,5.508,3.0
0.599,0.0327,0.04446,0.02249,0.0394,0.277,4.875,4.0
1.768,0.006153,0.04715,0.007812,0.00572,0.10565,6.426,5.0
1.4,0.02553,0.0236,0.0213,0.013565,0.4297,5.86,6.0
1.03,0.010796,0.02522,0.02252,0.01817,0.9717,3.348,7.0
0.8125,0.02895,0.0271,0.01736,0.02951,0.262,7.863,8.0
0.9893,0.01805,0.03772,0.03107,0.0239,0.3699,7.45,9.0
1.699,0.014656,0.04715,0.005737,0.0173,0.3489,9.25,10.0
0.8545,0.006516,0.00943,0.00505,0.01904,0.397,6.15,11.0
1.238,0.0227,0.02956,0.0186,0.01933,0.3127,7.105,12.0
0.767,0.01224,0.01923,0.04874,0.02196,0.6904,5.793,0.0
